https://www.tandfonline.com/doi/pdf/10.2147/CLEP.S170304,,,,,,
ICD10,Description,Location,,,,
Percutaneous coronary intervention,,,"33076A, 33076B, 33077A, 33077B, 33078A, 33078B ",,,
Coronary artery bypass surgery ,,,"68023A, 68023B, 68024A, 68024B, 68025A, 68025B ",,,
Peripheral vascular disease ,"093.0, 437.3, 440.x, 441.x, 443.1– 443.9, 47.1, 557.1, 557.9, V43.4 ","I70.x, I71.x, I73.1, I73.8, I73.9, I77.1, I79.0, I79.2, K55.1, K55.8, K55.9, Z95.8, Z95.9 ",,,,
Cerebrovascular disease ,"362.34, 430.x–438.x ","G45.x, G46.x, H34.0, I60.x–I69.x ",,,,
Ischemic stroke,"433-434, 436, 852,853 ","I67.89, I63-I64, G458-459, S01.90XA, S06.4X0A-S06.4X9A, S06.5X0A-S06.5X9A, S06.6X0A, S06.6X9A, S06.340A-S06.349A, S06.350A-S06.359A, S06.360A-S06.369A ",,,,
Transient ischemic attack ,435,G45 ,,,,
Hemiplegia or paraplegia ,"334.1, 342.x, 343.x, 344.0– 344.6, 344.9 ","G04.1, G11.4, G80.1, G80.2, G81.x, G82.x, G83.0–G83.4, G83.9 ",,,,
Dementia ,"290.x, 294.1, 331.2 ","F00.x–F03.x, F05.1, G30.x, G31.1 ",,,,
Diabetes mellitus (DM) ,250,E10.0;E10.1;E10.9;E11.0;E11.1; E11.9 ,,,,
Diabetes with complications ,250.4–250.7 ,"E10.2–E10.5, E10.7, E11.2–E11.5, E11.7, E12.2–E12.5, E12.7, E13.2– E13.5, E13.7, E14.2–E14.5, E14.7 ",,,,
Chronic pulmonary disease ,"416.8, 416.9, 490.x–505.x, 506.4, 508.1, 508.8 ","I27.8, I27.9, J40.x–J47.x, J60.x–J67.x, J68.4, J70.1, J70.3 ",,,,
Chronic obstructive pulmonary disease ,"490, 491.0, 491.1, 491.2, 491.20, 491.21, 491.22, 491.8, 491.9, 492.0, 492.8, 494, 494.0, 494.1, 496 ","J40, J41.0, J41.1, J41.8, J42, J43.0, J43.1, J43.2, J43.8, J43.9, J44.0, J44.1, J44.9, J47.0, J47.1, J47.9 ",,,,
Peptic ulcer disease ,531.x–534.x ,K25.x–K28.x ,,,,
Mild liver disease ,"070.22, 070.23, 070.32, 070.33, 070.44, 070.54, 070.6, 070.9, 570.x,571.x,573.3,573.4,573.8,573.9","B18.x, K70.0–K70.3, K70.9, K71.3– K71.5, K71.7, K73.x, K74.x, K76.0, K76.2–K76.4, K76.8, K76.9, Z94.4 ",,,,
Moderate or severe liver disease ,"456.0–456.2, 572.2–572.8 ","I85.0, I85.9, I86.4, I98.2, K70.4, K71.1, K72.1, K72.9, K76.5, K76.6, K76.7 ",,,,
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ","140.x–172.x, 174.x–195.8, 200.x– 208.x, 238.6 ","C00.x–C26.x, C30.x–C34.x, C37.x– C41.x, C43.x, C45.x–C58.x, C60.x– C76.x, C81.x–C85.x, C88.x, C90.x– C97.x ",,,,
Metastatic solid tumor,196.x–199.x,C77.x–C80.x ,,,,
Human immunodeficiencyvirus infection ,042.x–044.x ,"B20.x–B22.x, B24.x ",,,,
Anemia ,280-285 ,"D46.1, D46.4, D50-D64 ",,,,
Rheumatic disease ,"446.5, 710.0–710.4, 714.0– 714.2, 714.8, 725.x ","M05.x, M06.x, M31.5, M32.x– M34.x, M35.1, M35.3, M36.0 ",,,,
Chronic kidney disease ,"580, 581, 582, 583, 584, 585, 586, 587, 588, 589 ","I12, I13, N00-N05, N07, N11, N14, N17, N18, N19, Q61 ",,,,
Bone Fractures due to traffic accidents ,"800-829, E800-E848 ",,,,,
Major bleeding ,,,,,,
Intracranial ,"430, 431, 432.0, 432.1, 432.9, 852.0, 852.2, 852.4, 853.0 ","I60, I61, I62, S06.340A-S06.349A, S06.350A-S06.359A, S06.360A-06.369A, S06.4X0A-S06.4X9A, S06.5X0A-S06.5X9A, S06.6X0A-S06.6X9A ",,,,
Gastrointestinal ,"530.7, 531, 531.2, 531.4, 531.6, 532, 532.2, 532.4, 532.6, 533, ","K22.6, K25-K28, K29.01, K29.21, K29.31, K29.41, K29.51, K29.61, K29.71, K29.81, K29.91, K31.811, ",,,,
,"533.2, 533.4, 533.6, 534, 534.2, 534.4, 534.6, 569.3, 535.01, 535.11, 535.21, 535.31, 535.41,","K31.82, K52.81, K55.21, K56.60, K57.01, K57.11, K57.13,",,,,
,"535.51, 535.61, 535.71, 537.83, 537.84, 562.02, 562.03, 562.12, ","K57.21, K57.31, K57.33, K57.81, K57.91, K57.93, K62.5, K92.0, K92.1, K92.2 ",,,,
,"562.13, 569.85, 578 ",,,,,
Genitourinary tract bleeding ,"599.7, 626.8 ","R31.9, N93.8, N93.8 ",,,,
Other sites ,"336.1, 363.6, 372.72, 376.32, 377.42, 379.23 (eye); 459, 593.81, 719.1 (joint); 729.92 (soft","G95.11, G95.19, H05.23, H11.3, H31.3,H43.1,H47.02,I31.2,M25.0 R58",,,,
,"tissue); 423.0 (heart), 772.5 (adrenal gland) ","S37.012A, S37.019A, S37.021A, S37.022A, S37.029A, S37.031A, S37.032A, S37.039A, S37.041A, S37.042A, S37.049A, S37.051A, S37.052A, S37.059A ",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Major bleeding ,Enhanced ICD-9-CM,ICD-10  ,,,,
Intracranial ,430,I60,,,,
Intracranial ,431,I61,,,,
Intracranial ,432.0,I62,,,,
Intracranial ,432.1, S06.340A,,,,
Intracranial ,432.9,S06.341A,,,,
Intracranial ,852.0,S06.342A,,,,
Intracranial ,852.2,S06.343A,,,,
Intracranial ,852.4,S06.344A,,,,
Intracranial ,853.0 ,S06.345A,,,,
Intracranial ,,S06.346A,,,,
Intracranial ,,S06.347A,,,,
Intracranial ,,S06.348A,,,,
Intracranial ,,S06.349A,,,,
Intracranial ,,S06.350A,,,,
Intracranial ,,S06.351A,,,,
Intracranial ,,S06.352A,,,,
Intracranial ,,S06.353A,,,,
Intracranial ,,S06.354A,,,,
Intracranial ,,S06.355A,,,,
Intracranial ,,S06.356A,,,,
Intracranial ,,S06.357A,,,,
Intracranial ,,S06.358A,,,,
Intracranial ,,S06.359A,,,,
Intracranial ,,S06.360A,,,,
Intracranial ,,S06.361A,,,,
Intracranial ,,S06.362A,,,,
Intracranial ,,S06.363A,,,,
Intracranial ,,S06.364A,,,,
Intracranial ,,S06.365A,,,,
Intracranial ,,S06.366A,,,,
Intracranial ,,S06.367A,,,,
Intracranial ,,S06.368A,,,,
Intracranial ,,S06.369A,,,,
Intracranial ,,S06.4X0A,,,,
Intracranial ,,S06.4X1A,,,,
Intracranial ,,S06.4X2A,,,,
Intracranial ,,S06.4X3A,,,,
Intracranial ,,S06.4X4A,,,,
Intracranial ,,S06.4X5A,,,,
Intracranial ,,S06.4X6A,,,,
Intracranial ,,S06.4X7A,,,,
Intracranial ,,S06.4X8A,,,,
Intracranial ,,S06.4X9A,,,,
Intracranial ,,S06.5X0A,,,,
Intracranial ,,S06.5X1A,,,,
Intracranial ,,S06.5X2A,,,,
Intracranial ,,S06.5X3A,,,,
Intracranial ,,S06.5X4A,,,,
Intracranial ,,S06.5X5A,,,,
Intracranial ,,S06.5X6A,,,,
Intracranial ,,S06.5X7A,,,,
Intracranial ,,S06.5X8A,,,,
Intracranial ,,S06.5X9A,,,,
Intracranial ,,S06.6X0A,,,,
Intracranial ,,S06.6X1A ,,,,
Intracranial ,,S06.6X2A ,,,,
Intracranial ,,S06.6X3A ,,,,
Intracranial ,,S06.6X4A ,,,,
Intracranial ,,S06.6X5A ,,,,
Intracranial ,,S06.6X6A ,,,,
Intracranial ,,S06.6X7A ,,,,
Intracranial ,,S06.6X8A ,,,,
Gastrointestinal ,530.7,,,,,
Gastrointestinal ,531 ,K22.6 ,,,,
Gastrointestinal ,531.2,K25,,,,
Gastrointestinal ,531.4,K26,,,,
Gastrointestinal ,531.6,K27,,,,
Gastrointestinal ,532,K28,,,,
Gastrointestinal ,532.2,K29.01,,,,
Gastrointestinal ,532.4,K29.21,,,,
Gastrointestinal ,532.6,K29.31,,,,
Gastrointestinal ,533,K29.41,,,,
Gastrointestinal ,533.2,K29.51,,,,
Gastrointestinal ,533.4,K29.61,,,,
Gastrointestinal ,533.6,K29.71,,,,
Gastrointestinal ,534,K29.81,,,,
Gastrointestinal ,534.2,K29.91,,,,
Gastrointestinal ,534.4,K31.811,,,,
Gastrointestinal ,534.6,K31.82,,,,
Gastrointestinal ,569.3,K52.81,,,,
Gastrointestinal ,535.01,K55.21,,,,
Gastrointestinal ,535.11,K56.60,,,,
Gastrointestinal ,535.21,K57.01,,,,
Gastrointestinal ,535.31,K57.11,,,,
Gastrointestinal ,535.41,K57.13,,,,
Gastrointestinal ,535.51,K57.21 ,,,,
Gastrointestinal ,535.61,K57.31,,,,
Gastrointestinal ,535.71,K57.33,,,,
Gastrointestinal ,537.83, K57.81,,,,
Gastrointestinal ,537.84,K57.91,,,,
Gastrointestinal ,562.02, K57.93,,,,
Gastrointestinal ,562.03,K62.5,,,,
Gastrointestinal ,562.12 ,K92.0,,,,
Gastrointestinal ,562.13,K92.1,,,,
Gastrointestinal , 569.85,K92.2,,,,
Gastrointestinal ,578 ,,,,,
Genitourinary tract bleeding ,599.7,R31.9,,,,
Genitourinary tract bleeding , 626.8 , N93.8,,,,
Genitourinary tract bleeding ,, N93.8 ,,,,
eye,336.1,,,,,
eye,363.6,,,,,
eye,372.72,,,,,
eye,376.32,,,,,
eye,377.42,,,,,
eye,379.23,,,,,
joint,459,,,,,
joint,593.81,,,,,
joint,719.1,,,,,
softTissue,729.92,,,,,
heart, 423.0 ,,,,,
adrenalGland,772.5,,,,,
Other sites ,,G95.11,,,,
Other sites ,, G95.19,,,,
Other sites ,, H05.23,,,,
Other sites ,, H11.3,,,,
Other sites ,, H31.3,,,,
Other sites ,,H43.1,,,,
Other sites ,,H47.02,,,,
Other sites ,,I31.2,,,,
Other sites ,,M25.0 R58,,,,
Other sites ,,S37.012A,,,,
Other sites ,, S37.019A,,,,
Other sites ,, S37.021A,,,,
Other sites ,, S37.022A,,,,
Other sites ,, S37.029A,,,,
Other sites ,, S37.031A,,,,
Other sites ,, S37.032A,,,,
Other sites ,, S37.039A,,,,
Other sites ,, S37.041A,,,,
Other sites ,, S37.042A,,,,
Other sites ,, S37.049A,,,,
Other sites ,, S37.051A,,,,
Other sites ,, S37.052A,,,,
Other sites ,, S37.059A ,,,,
,,,,,,
,,,,,,
,,,,,,
Atrial fibrillation ,427.31,I48.0,,,,
Atrial fibrillation ,, I48.2,,,,
Atrial fibrillation ,, I48.91,,,,
,,,,,,
,,,,,,
Hypertension ,401,I10,,,,
Hypertension ,402,I11,,,,
Hypertension ,,I12,,,,
Hypertension ,,I13,,,,
Hypertension ,,I14,,,,
Hypertension ,,I15,,,,
Hypertension ,,I16,,,,
,,,,,,
,,,,,,
Myocardial infarction ,410.x,I21.x,,,,
Myocardial infarction , 412.x , I22.x,,,,
Myocardial infarction ,, I25.2 ,,,,
,,,,,,
,,,,,,
Congestive heart failure ,,,,,,
Congestive heart failure ,398.91,I09.9,,,,
Congestive heart failure , 402.01, I11.0,,,,
Congestive heart failure , 402.11, I13.0,,,,
Congestive heart failure , 402.91, I13.2,,,,
Congestive heart failure ,404.01, I25.5,,,,
Congestive heart failure , 404.03, I42.0,,,,
Congestive heart failure , 404.11, I42.5–I42.9,,,,
Congestive heart failure , 404.13, I43.x,,,,
Congestive heart failure , 404.91, I50.x,,,,
Congestive heart failure , 404.93, P29.0 ,,,,
Congestive heart failure , 425.4,,,,,
Congestive heart failure , 425.5,,,,,
Congestive heart failure , 425.6,,,,,
Congestive heart failure , 425.7,,,,,
Congestive heart failure , 425.8,,,,,
Congestive heart failure , 425.9,,,,,
,,,,,,
,,,,,,
,,,,,,
Congestive heart failure , 428.x ,,,,,
,,,,,,
,,,,,,
,,,,,,
Aortic plaque ,440,I70 ,,,,
,,,,,,
,,,,,,
,,,,,,
Percutaneous coronary intervention,,,33076A,,,
Percutaneous coronary intervention,,, 33076B,,,
Percutaneous coronary intervention,,, 33077A,,,
Percutaneous coronary intervention,,, 33077B,,,
Percutaneous coronary intervention,,, 33078A,,,
Percutaneous coronary intervention,,, 33078B ,,,
,,,,,,
,,,,,,
,,,,,,
Coronary artery bypass surgery ,,,68023A,,,
Coronary artery bypass surgery ,,, 68023B,,,
Coronary artery bypass surgery ,,, 68024A,,,
Coronary artery bypass surgery ,,, 68024B,,,
Coronary artery bypass surgery ,,, 68025A,,,
Coronary artery bypass surgery ,,, 68025B ,,,
,,,,,,
,,,,,,
Peripheral vascular disease ,,,,,,
Peripheral vascular disease ,093.0,I70.x,,,,
Peripheral vascular disease , 437.3, I71.x,,,,
Peripheral vascular disease , 440.x, I73.1,,,,
Peripheral vascular disease , 441.x, I73.8,,,,
Peripheral vascular disease , 443.1, I73.9,,,,
Peripheral vascular disease , 443.2, I77.1,,,,
Peripheral vascular disease , 443.3, I79.0,,,,
Peripheral vascular disease , 443.4, I79.2,,,,
Peripheral vascular disease , 443.5, K55.1,,,,
Peripheral vascular disease , 443.6, K55.8,,,,
Peripheral vascular disease , 443.7, K55.9,,,,
Peripheral vascular disease , 443.8, Z95.8,,,,
Peripheral vascular disease , 443.9, Z95.9 ,,,,
Peripheral vascular disease , 47.1,,,,,
Peripheral vascular disease , 557.1,,,,,
Peripheral vascular disease , 557.9,,,,,
Peripheral vascular disease , V43.4 ,,,,,
,,,,,,
,,,,,,
,,,,,,
Cerebrovascular disease ,,,,,,
Cerebrovascular disease ,362.34,G45.x,,,,
Cerebrovascular disease , 431.x,G46.x,,,,
Cerebrovascular disease , 432.x,H34.0,,,,
Cerebrovascular disease , 433.x,I60.x,,,,
Cerebrovascular disease , 434.x,I61.x,,,,
Cerebrovascular disease , 435.x,I62.x,,,,
Cerebrovascular disease , 436.x,I63.x,,,,
Cerebrovascular disease , 437.x,I64.x,,,,
Cerebrovascular disease ,438.x ,I65.x,,,,
Cerebrovascular disease ,,I66.x,,,,
Cerebrovascular disease ,,I67.x,,,,
Cerebrovascular disease ,,I68.x,,,,
,,I69.x,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Ischemic stroke,433,I67.89,,,,
Ischemic stroke,434, I63,,,,
Ischemic stroke, 436,I64,,,,
Ischemic stroke, 852, G458,,,,
Ischemic stroke,853 ,459,,,,
Ischemic stroke,, S01.90XA,,,,
Ischemic stroke,, S06.4X0A,,,,
Ischemic stroke,, S06.4X1A,,,,
Ischemic stroke,, S06.4X2A,,,,
Ischemic stroke,, S06.4X3A,,,,
Ischemic stroke,, S06.4X4A,,,,
Ischemic stroke,, S06.4X5A,,,,
Ischemic stroke,, S06.4X6A,,,,
Ischemic stroke,, S06.4X7A,,,,
Ischemic stroke,, S06.4X8A,,,,
Ischemic stroke,,S06.4X9A,,,,
Ischemic stroke,, S06.5X0A,,,,
Ischemic stroke,, S06.5X1A,,,,
Ischemic stroke,, S06.5X2A,,,,
Ischemic stroke,, S06.5X3A,,,,
Ischemic stroke,, S06.5X4A,,,,
Ischemic stroke,, S06.5X5A,,,,
Ischemic stroke,, S06.5X6A,,,,
Ischemic stroke,, S06.5X7A,,,,
Ischemic stroke,, S06.5X8A,,,,
Ischemic stroke,,S06.5X9A,,,,
Ischemic stroke,, S06.6X0A,,,,
Ischemic stroke,, S06.6X9A,,,,
Ischemic stroke,, S06.340A,,,,
Ischemic stroke,, S06.341A,,,,
Ischemic stroke,, S06.342A,,,,
Ischemic stroke,, S06.343A,,,,
Ischemic stroke,, S06.344A,,,,
Ischemic stroke,, S06.345A,,,,
Ischemic stroke,, S06.346A,,,,
Ischemic stroke,, S06.347A,,,,
Ischemic stroke,, S06.348A,,,,
Ischemic stroke,,S06.349A,,,,
Ischemic stroke,, S06.350A,,,,
Ischemic stroke,, S06.351A,,,,
Ischemic stroke,, S06.352A,,,,
Ischemic stroke,, S06.353A,,,,
Ischemic stroke,, S06.354A,,,,
Ischemic stroke,, S06.355A,,,,
Ischemic stroke,, S06.356A,,,,
Ischemic stroke,, S06.357A,,,,
Ischemic stroke,, S06.358A,,,,
Ischemic stroke,,S06.359A,,,,
Ischemic stroke,, S06.360A,,,,
Ischemic stroke,, S06.361A,,,,
Ischemic stroke,, S06.362A,,,,
Ischemic stroke,, S06.363A,,,,
Ischemic stroke,, S06.364A,,,,
Ischemic stroke,, S06.365A,,,,
Ischemic stroke,, S06.366A,,,,
Ischemic stroke,, S06.367A,,,,
Ischemic stroke,, S06.368A,,,,
Ischemic stroke,,S06.369A ,,,,
,,,,,,
,,,,,,
,,,,,,
Transient ischemic attack ,435,G45 ,,,,
,,,,,,
,,,,,,
,,,,,,
Hemiplegia or paraplegia ,,,,,,
Hemiplegia or paraplegia ,334.1,G04.1,,,,
Hemiplegia or paraplegia , 342.x, G11.4,,,,
Hemiplegia or paraplegia , 343.x, G80.1,,,,
Hemiplegia or paraplegia ,344.0, G80.2,,,,
Hemiplegia or paraplegia ,344.1, G81.x,,,,
Hemiplegia or paraplegia ,344.2, G82.x,,,,
Hemiplegia or paraplegia ,344.3, G83.0,,,,
Hemiplegia or paraplegia ,344.4, G83.1,,,,
Hemiplegia or paraplegia ,344.5, G83.2,,,,
Hemiplegia or paraplegia ,344.6, G83.3,,,,
Hemiplegia or paraplegia , 344.9 ,G83.4,,,,
,, G83.9 ,,,,
,,,,,,
,,,,,,
,,,,,,
Diabetes mellitus (DM) ,250,E10.0,,,,
Diabetes mellitus (DM) ,250.4,E10.1,,,,
Diabetes mellitus (DM) ,250.5,E10.9,,,,
Diabetes mellitus (DM) ,250.6,E11.0,,,,
Diabetes mellitus (DM) ,250.7 ,E11.1,,,,
Diabetes mellitus (DM) ,,E11.9 ,,,,
Diabetes mellitus (DM) ,,E10.2,,,,
Diabetes mellitus (DM) ,,E10.3,,,,
Diabetes mellitus (DM) ,,E10.4,,,,
Diabetes mellitus (DM) ,,E10.5,,,,
Diabetes mellitus (DM) ,, E10.7,,,,
