,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
44,11530004,19931010,2000,66AJ1,66AJ100,Brittle diabetes,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
48,11530004,2683581000006112,50,^ESCTLA268358,NA,Labile diabetes,1220208016,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
52,11530004,2683591000006110,2,^ESCTUN268359,NA,Unstable diabetes mellitus,2871747019,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
56,11530004,411891014,4000,66AJ-1,66AJ.11,Unstable diabetes,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
60,11687002,801901000006119,80000,L1808-1,L180811,Gestational diabetes mellitus,20191016,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
61,11687002,1220321013,10000,L1808,L180800,Diabetes mellitus arising in pregnancy,1220321013,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
62,11687002,2686061000006119,20,^ESCTGD268606,NA,GDM,20193018,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
63,11687002,20191016,300000,L1809,L180900,Gestational diabetes mellitus,20191016,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
64,11687002,2686071000006114,2000,^ESCTGE268607,NA,Gestational diabetes,1220319015,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
65,11687002,2686101000006116,200,^ESCTGD268610,NA,GDM - Gestational diabetes mellitus,1220322018,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
66,11687002,2686081000006112,3,^ESCTMA268608,NA,Maternal gestational diabetes mellitus,1220320014,NA,32,diabetes mellitus arising in pregnancy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
67,126534007,4383621000006112,2,^ESCTDI438362,NA,Diabetic mixed sensory-motor polyneuropathy,94571018,NA,31,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),Diabetes,NA,['Manchester'],efi-diabetes.snomed.txt
68,126534007,12218471000006119,1,^ESCT1221847,NA,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,3695736013,NA,31,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),Diabetes,NA,['Manchester'],efi-diabetes.snomed.txt
69,127011001,4392131000006114,2,^ESCTDI439213,NA,Diabetic sensory polyneuropathy,299011,NA,31,Diabetic sensory polyneuropathy,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
70,127012008,4392141000006116,10,^ESCTLI439214,NA,Lipoatrophic diabetes,300015,NA,32,lipoatrophic diabetes mellitus,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
71,127012008,967701000006116,100,C10M,C10M.00,Lipoatrophic diabetes mellitus,300015,NA,32,lipoatrophic diabetes mellitus,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
72,127013003,771391000006117,100,C108D,C108D00,Insulin dependent diabetes mellitus with nephropathy,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
73,127013003,14067581000006118,200,^ESCT1406758,NA,Disorder of kidney due to diabetes mellitus,3782027011,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
74,127013003,913831000006114,50,C10ED-2,C10ED12,Insulin dependent diabetes mellitus with nephropathy,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
75,127013003,771501000006119,90,C1080,C108000,Insulin-dependent diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
76,127013003,616461000006112,10000,C104,C104.00,Diabetes mellitus with renal manifestation,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
77,127013003,292496015,2000,C104z,C104z00,Diabetes mellitus with nephropathy NOS,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
78,127013003,205225016,40000,C104-1,C104.11,Diabetic nephropathy,205225016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
79,127013003,913441000006119,200,C10E0-2,C10E012,Insulin-dependent diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
80,127013003,881481000006117,1000,C104-99,C104.99,Diabetes + nephropathy,881481000006117,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
81,127013003,293759015,2000,Cyu23,Cyu2300,Diabetic renal disease,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
82,127013003,354316011,300,C314-1,C314.11,Kidney disorder due to diabetes mellitus,3688488015,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
83,127013003,292495016,100,C104y,C104y00,Other specified diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
84,127014009,302011,4000,G73y0,G73y000,Diabetic peripheral angiopathy,302011,NA,32,diabetic peripheral angiopathy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
85,127014009,4392201000006111,3,^ESCTDI439220,NA,Diabetic peripheral vascular disease,205224017,NA,32,diabetic peripheral angiopathy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
86,127014009,4392221000006118,30,^ESCTPE439222,NA,Peripheral angiopathy due to diabetes mellitus,3313388015,NA,32,diabetic peripheral angiopathy,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
87,134395001,216201011,8000000,68A7,68A7.00,Diabetic retinopathy screening,216201011,NA,1,Diabetic retinopathy screening,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
88,140381000119104,8044171000006110,2,^ESCTNE804417,NA,Neuropathic toe ulcer due to type 2 diabetes mellitus,3013650011,NA,32,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
89,140381000119104,14095251000006116,40,^ESCT1409525,NA,Neuropathic ulcer of toe due to type 2 diabetes mellitus,3789742015,NA,32,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
90,140391000119101,8044181000006113,3,^ESCTUL804418,NA,Ulcer of toe due to type 2 diabetes mellitus,3013112016,NA,31,Ulcer of toe due to type 2 diabetes mellitus (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
91,140521000119107,8044221000006116,3,^ESCTIS804422,NA,Ischaemic foot ulcer due to type 2 diabetes mellitus,3013655018,NA,31,Ischemic foot ulcer due to type 2 diabetes mellitus (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
92,1481000119100,7968751000006116,20,^ESCTDI796875,NA,Diabetes mellitus type 2 without retinopathy,3013049012,NA,32,Diabetes mellitus type 2 without retinopathy,Diabetes,NA,['Manchester'],diabetes.snomed.txt
93,1491000119102,7968821000006118,2,^ESCTDI796882,NA,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,2967546017,NA,31,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
94,1511000119107,12370381000006111,1,^ESCT1237038,NA,Peripheral neuropathy with type 2 diabetes,3695522017,NA,31,Diabetic peripheral neuropathy associated with type II diabetes mellitus,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
95,1511000119107,7968951000006118,1,^ESCTDI796895,NA,Diabetic peripheral neuropathy associated with type II diabetes mellitus,2967619016,NA,31,Diabetic peripheral neuropathy associated with type II diabetes mellitus,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
96,157141000119108,8048421000006113,200,^ESCTPR804842,NA,Proteinuria due to type 2 diabetes mellitus,3013070018,NA,32,Proteinuria due to type 2 diabetes mellitus,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
97,165681007,14500431000006116,100,^ESCT1450043,NA,Haemoglobin A1c greater than 10 percent indicating poor diabetic control,4578059010,NA,11,hb. a1c > 10% - bad control,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
98,165681007,257621011,60000,42W3,42W3.00,Hb. A1C > 10% - bad control,257621011,NA,11,hb. a1c > 10% - bad control,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
99,165681007,817481000006113,10000,42c2,42c2.00,Haemoglobin A1c greater than 10% indicating poor diabetic control,2767754019,NA,11,hb. a1c > 10% - bad control,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
100,166928007,259365016,9000,44V3,44V3.00,Glucose tolerance test indicates diabetes mellitus,2817641015,NA,34,glucose tol. test diabetic,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
101,170742000,1884591000006118,5000,66o,66o..00,Further diabetic monitoring,264676010,NA,1,Diabetic monitoring,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
102,170742000,264726017,800000,66AR,66AR.00,Diabetes management plan given,264676010,NA,1,Diabetic monitoring,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
103,170742000,264676010,8000000,66A,66A..00,Diabetic monitoring,264676010,NA,1,Diabetic monitoring,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
104,170742000,264729012,600000,66AZ,66AZ.00,Diabetic monitoring NOS,264676010,NA,1,Diabetic monitoring,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
105,170743005,264677018,100000,66A1,66A1.00,Initial diabetic assessment,264677018,NA,1,initial diabetic assessment,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
106,170744004,264678011,2000000,66A2,66A2.00,Follow-up diabetic assessment,264678011,NA,1,follow-up diabetic assessment,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
107,170745003,4636411000006110,1000,^ESCTDI463641,NA,Diet controlled diabetes mellitus,264680017,NA,1,Diabetic on diet only,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
108,170745003,264679015,2000000,66A3,66A3.00,Diabetic on diet only,264679015,NA,1,Diabetic on diet only,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
109,170746002,264681018,6000000,66A4,66A4.00,Diabetic on oral treatment,264681018,NA,1,Diabetic on oral treatment,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
110,170747006,264682013,2000000,66A5,66A5.00,Diabetic on insulin,264682013,NA,1,Diabetic on insulin,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
111,170757007,264701014,800000,66AD,66AD.00,Fundoscopy - diabetic check,264701014,NA,1,fundoscopy - diabetic check,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
112,170760000,264704018,10000,66AG,66AG.00,Diabetic drug side effects,264704018,NA,5,diabetic drug side effects,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
113,170761001,264705017,60000,66AH,66AH.00,Diabetic treatment changed,264705017,NA,1,diabetic treatment changed,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
114,170762008,264706016,80000,66AH0,66AH000,Conversion to insulin,264706016,NA,1,Conversion to insulin,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
115,170763003,264707013,500000,66AI,66AI.00,Diabetic - good control,264707013,NA,1,diabetic - good control,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
116,170766006,14070771000006115,40,^ESCT1407077,NA,Loss of hypoglycaemic warning due to diabetes mellitus,3873345019,NA,1,Loss of hypoglycemic warning,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
117,170766006,4636611000006112,1,^ESCTHY463661,NA,Hypoglycemia unawareness,3035268010,NA,1,Loss of hypoglycemic warning,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
118,170766006,4636621000006116,2,^ESCTHY463662,NA,Hypoglycaemia unawareness,3038723019,NA,1,Loss of hypoglycemic warning,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
119,170766006,264714010,4000,66AJ2,66AJ200,Loss of hypoglycaemic warning,264714010,NA,1,Loss of hypoglycemic warning,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
120,170769004,264717015,10000,66AK,66AK.00,Diabetic - cooperative patient,264717015,NA,1,Diabetic - cooperative patient,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
121,170770003,264718013,2000,66AL,66AL.00,Diabetic-uncooperative patient,264718013,NA,1,Diabetic-uncooperative patient,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
122,170771004,264719017,30000,66AM,66AM.00,Diabetic - follow-up default,264719017,NA,1,diabetic - follow-up default,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
123,170772006,264720011,20000,66AN,66AN.00,Date diabetic treatment start,264720011,NA,1,date diabetic treatment start,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
124,170773001,607851000006113,400,66AO,66AO.00,Date diabetic treatment stopped,264721010,NA,1,date diabetic treatment stopp.,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
125,170774007,264723013,3000000,66AP,66AP.00,Diabetes: practice programme,264723013,NA,1,diabetes: practice programme,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
126,170775008,264724019,400000,66AQ,66AQ.00,Diabetes: shared care programme,264724019,NA,1,diabetes: shared care programme,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
127,170775008,4636711000006116,8,^ESCTDI463671,NA,Diabetes: shared care program,264725018,NA,1,diabetes: shared care programme,Diabetes mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery
