,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments,X,X.1
76,170742000,264676010,8000000,66A,66A..00,Diabetic monitoring,264676010,NA,1,Diabetic monitoring,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
77,170742000,264726017,800000,66AR,66AR.00,Diabetes management plan given,264676010,NA,1,Diabetic monitoring,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
78,170742000,1884591000006118,5000,66o,66o..00,Further diabetic monitoring,264676010,NA,1,Diabetic monitoring,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
79,170743005,264677018,100000,66A1,66A1.00,Initial diabetic assessment,264677018,NA,1,initial diabetic assessment,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
80,170744004,264678011,2000000,66A2,66A2.00,Follow-up diabetic assessment,264678011,NA,1,follow-up diabetic assessment,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
81,170745003,4636411000006110,1000,^ESCTDI463641,NA,Diet controlled diabetes mellitus,264680017,NA,1,Diabetic on diet only,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
82,170745003,264679015,2000000,66A3,66A3.00,Diabetic on diet only,264679015,NA,1,Diabetic on diet only,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
83,170746002,264681018,6000000,66A4,66A4.00,Diabetic on oral treatment,264681018,NA,1,Diabetic on oral treatment,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
84,170747006,264682013,2000000,66A5,66A5.00,Diabetic on insulin,264682013,NA,1,Diabetic on insulin,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
85,170760000,264704018,10000,66AG,66AG.00,Diabetic drug side effects,264704018,NA,5,diabetic drug side effects,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
86,170761001,264705017,60000,66AH,66AH.00,Diabetic treatment changed,264705017,NA,1,diabetic treatment changed,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
87,170762008,264706016,80000,66AH0,66AH000,Conversion to insulin,264706016,NA,1,Conversion to insulin,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
88,170763003,264707013,500000,66AI,66AI.00,Diabetic - good control,264707013,NA,1,diabetic - good control,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
89,170769004,264717015,10000,66AK,66AK.00,Diabetic - cooperative patient,264717015,NA,1,Diabetic - cooperative patient,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
90,170770003,264718013,2000,66AL,66AL.00,Diabetic-uncooperative patient,264718013,NA,1,Diabetic-uncooperative patient,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
91,170771004,264719017,30000,66AM,66AM.00,Diabetic - follow-up default,264719017,NA,1,diabetic - follow-up default,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
92,170772006,264720011,20000,66AN,66AN.00,Date diabetic treatment start,264720011,NA,1,date diabetic treatment start,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
93,170773001,607851000006113,400,66AO,66AO.00,Date diabetic treatment stopped,264721010,NA,1,date diabetic treatment stopp.,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
94,170774007,264723013,3000000,66AP,66AP.00,Diabetes: practice programme,264723013,NA,1,diabetes: practice programme,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
95,170775008,264724019,400000,66AQ,66AQ.00,Diabetes: shared care programme,264724019,NA,1,diabetes: shared care programme,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
96,170775008,4636711000006116,8,^ESCTDI463671,NA,Diabetes: shared care program,264725018,NA,1,diabetes: shared care programme,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
98,170777000,264727014,10000000,66AS,66AS.00,Diabetic annual review,264727014,NA,1,Diabetic annual review,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
99,170778005,264728016,200000,66AT,66AT.00,Annual diabetic blood test,264728016,NA,1,annual diabetic blood test,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
100,182781000,282570016,4000,8A13,8A13.00,Diabetic stabilisation,282570016,NA,32,diabetic stabilisation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
101,183097007,283027015,100000,8CE0,8CE0.00,Diabetic leaflet given,283027015,NA,32,diabetic leaflet given,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
102,183472000,283544013,4000,8H2J,8H2J.00,Diabetic emergency hospital admission,3082988012,NA,40,admit diabetic emergency,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
103,183506001,283584016,700,8H3O,8H3O.00,Non-urgent diabetic admission,283584016,NA,40,non-urgent diabetic admission,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
104,183722003,283889016,300,8HKE,8HKE.00,Diabetology D.V. requested,283889016,NA,40,diabetology d.v. requested,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
105,183722003,4726201000006118,20,^ESCTDI472620,NA,Diabetology domiciliary visit requested,283890013,NA,40,diabetology d.v. requested,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
106,183751004,283938017,2000,8HLE,8HLE.00,Diabetology D.V. done,283938017,NA,40,diabetology d.v. done,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
107,183781007,283974014,90,8HME,8HME.00,Listed for Diabetology admission,2668804016,NA,40,listed for diabetology admissn,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
108,185229005,285223014,6000000,9N1Q,9N1Q.00,Seen in diabetic clinic,285223014,NA,37,seen in diabetic clinic,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
109,185753003,285751016,300000,9OL1,9OL1.00,Attends diabetes monitoring,285751016,NA,37,Attends diabetes monitoring,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
112,190330002,292482014,20,C1020,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma",292482014,NA,32,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
113,190331003,292483016,90,C1021,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",292483016,NA,32,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
114,190331003,4758011000006112,4,^ESCTTY475801,NA,Type 2 diabetes mellitus with hyperosmolar coma,2967818010,NA,32,"Diabetes mellitus, adult onset, with hyperosmolar coma",Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
115,190368000,292540012,300,C10E5,C10E500,Type 1 diabetes mellitus with ulcer,292540012,NA,32,type 1 diabetes mellitus with ulcer,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
116,190368000,84821000006118,20,C1085-1,C108511,Type I diabetes mellitus with ulcer,292538019,NA,32,type 1 diabetes mellitus with ulcer,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
117,190368000,84451000006112,30,C1085-2,C108512,Type 1 diabetes mellitus with ulcer,292540012,NA,32,type 1 diabetes mellitus with ulcer,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
118,190368000,292538019,10,C10E5-1,C10E511,Type I diabetes mellitus with ulcer,292538019,NA,32,type 1 diabetes mellitus with ulcer,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
120,190372001,292553010,2000,C10E9,C10E900,Type 1 diabetes mellitus maturity onset,292553010,NA,32,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
122,190372001,4758121000006115,30,^ESCTIN475812,NA,Insulin-dependent diabetes maturity onset,292552017,NA,32,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
124,190372001,84671000006116,200,C1089-1,C108911,Type I diabetes mellitus maturity onset,292551012,NA,32,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
126,190372001,292551012,30,C10E9-1,C10E911,Type I diabetes mellitus maturity onset,292551012,NA,32,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
128,190372001,84301000006116,30,C1089-2,C108912,Type 1 diabetes mellitus maturity onset,292553010,NA,32,Type 1 diabetes mellitus maturity onset,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
130,190388001,280581000006118,300,C1093,C109300,Non-insulin-dependent diabetes mellitus with multiple complications,292578014,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
132,190388001,292576013,30,C10F3-1,C10F311,Type II diabetes mellitus with multiple complications,292576013,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
134,190388001,14071211000006113,20,^ESCT1407121,NA,Multiple complications due to type 2 diabetes mellitus,3793304018,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
136,190388001,84541000006111,200,C1093-2,C109312,Type 2 diabetes mellitus with multiple complications,292577016,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
138,190388001,292577016,3000,C10F3,C10F300,Type 2 diabetes mellitus with multiple complications,292577016,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
140,190388001,84911000006119,8,C1093-1,C109311,Type II diabetes mellitus with multiple complications,292576013,NA,32,Type II diabetes mellitus with multiple complications,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
142,190389009,85001000006117,60,C1094-1,C109411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
